## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT sample1.q20.bam --OUTPUT sample1.bam --METRICS_FILE sample1.MarkDuplicates.metrics.txt --CREATE_INDEX true --REFERENCE_SEQUENCE reference.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 20 06:22:47 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib	0	500	0	0	0	175	0	0.35	535

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999625	204	204
2.0	1.392229	83	83
3.0	1.546425	26	26
4.0	1.606985	8	8
5.0	1.63077	4	4
6.0	1.640112	0	0
7.0	1.643781	0	0
8.0	1.645222	0	0
9.0	1.645788	0	0
10.0	1.64601	0	0
11.0	1.646097	0	0
12.0	1.646132	0	0
13.0	1.646145	0	0
14.0	1.64615	0	0
15.0	1.646153	0	0
16.0	1.646153	0	0
17.0	1.646154	0	0
18.0	1.646154	0	0
19.0	1.646154	0	0
20.0	1.646154	0	0
21.0	1.646154	0	0
22.0	1.646154	0	0
23.0	1.646154	0	0
24.0	1.646154	0	0
25.0	1.646154	0	0
26.0	1.646154	0	0
27.0	1.646154	0	0
28.0	1.646154	0	0
29.0	1.646154	0	0
30.0	1.646154	0	0
31.0	1.646154	0	0
32.0	1.646154	0	0
33.0	1.646154	0	0
34.0	1.646154	0	0
35.0	1.646154	0	0
36.0	1.646154	0	0
37.0	1.646154	0	0
38.0	1.646154	0	0
39.0	1.646154	0	0
40.0	1.646154	0	0
41.0	1.646154	0	0
42.0	1.646154	0	0
43.0	1.646154	0	0
44.0	1.646154	0	0
45.0	1.646154	0	0
46.0	1.646154	0	0
47.0	1.646154	0	0
48.0	1.646154	0	0
49.0	1.646154	0	0
50.0	1.646154	0	0
51.0	1.646154	0	0
52.0	1.646154	0	0
53.0	1.646154	0	0
54.0	1.646154	0	0
55.0	1.646154	0	0
56.0	1.646154	0	0
57.0	1.646154	0	0
58.0	1.646154	0	0
59.0	1.646154	0	0
60.0	1.646154	0	0
61.0	1.646154	0	0
62.0	1.646154	0	0
63.0	1.646154	0	0
64.0	1.646154	0	0
65.0	1.646154	0	0
66.0	1.646154	0	0
67.0	1.646154	0	0
68.0	1.646154	0	0
69.0	1.646154	0	0
70.0	1.646154	0	0
71.0	1.646154	0	0
72.0	1.646154	0	0
73.0	1.646154	0	0
74.0	1.646154	0	0
75.0	1.646154	0	0
76.0	1.646154	0	0
77.0	1.646154	0	0
78.0	1.646154	0	0
79.0	1.646154	0	0
80.0	1.646154	0	0
81.0	1.646154	0	0
82.0	1.646154	0	0
83.0	1.646154	0	0
84.0	1.646154	0	0
85.0	1.646154	0	0
86.0	1.646154	0	0
87.0	1.646154	0	0
88.0	1.646154	0	0
89.0	1.646154	0	0
90.0	1.646154	0	0
91.0	1.646154	0	0
92.0	1.646154	0	0
93.0	1.646154	0	0
94.0	1.646154	0	0
95.0	1.646154	0	0
96.0	1.646154	0	0
97.0	1.646154	0	0
98.0	1.646154	0	0
99.0	1.646154	0	0
100.0	1.646154	0	0

